symbol,timestamp,open,high,low,close,volume,trade_count,vwap,20_day_ma
BCH/USD,2024-07-22 05:00:00+00:00,399.617,399.617,377.762,377.762,14.784149299,27.0,387.5053476139,362.72040000000004
BCH/USD,2024-07-23 05:00:00+00:00,377.3805,385.3165,360.874,368.06,16.60842891,43.0,376.7228219403,362.97985000000006
BCH/USD,2024-07-24 05:00:00+00:00,367.7,376.197,349.1135,353.21,53.013071501,8.0,373.213364805,365.37962500000003
BCH/USD,2024-07-27 05:00:00+00:00,382.003,398.4365,380.199,394.7,22.622638545,10.0,386.414601963,374.2583
BCH/USD,2024-07-28 05:00:00+00:00,394.085,435.008,388.817,435.008,272.998386655,22.0,401.7254611351,379.18355
BCH/USD,2024-07-29 05:00:00+00:00,435.155,458.5365,380.192635835,435.0285,118.755872937,37.0,446.9577400214,383.738225
BCH/USD,2024-07-30 05:00:00+00:00,435.03,446.435,424.6965,426.84,0.650426483,3.0,434.9049994576,388.037725
BCH/USD,2024-07-31 05:00:00+00:00,426.8,432.845,408.15,409.455,1.29964087,15.0,422.2765492242,391.160475
BCH/USD,2024-08-01 05:00:00+00:00,409.406,423.345,389.47,406.654,2.673490331,25.0,401.8380735654,392.76482500000003
BCH/USD,2024-08-02 05:00:00+00:00,407.0485,417.2,368.635,379.855,4.740974276,3.0,389.5587003934,392.63735
DOGE/USD,2024-07-20 05:00:00+00:00,0.126112,0.135855,0.125331,0.1313665,285635.908556025,35.0,0.1326688504,0.1149078673
DOGE/USD,2024-07-21 05:00:00+00:00,0.1314,0.14363,0.125885,0.1411,258405.372208444,37.0,0.1323033974,0.11578286730000001
DOGE/USD,2024-07-22 05:00:00+00:00,0.141,0.14245,0.1347,0.135624,135303.72494925,47.0,0.1388269497,0.11648951730000001
DOGE/USD,2024-07-23 05:00:00+00:00,0.1355005,0.13653,0.1281805,0.1312625,4978.601276131,33.0,0.1323240319,0.11730051730000002
DOGE/USD,2024-07-24 05:00:00+00:00,0.13123,0.134815,0.121841,0.1242,35465.805511071,40.0,0.1245262742,0.1186915673
DOGE/USD,2024-07-25 05:00:00+00:00,0.124154,0.129603,0.120094,0.129125,91490.460578012,99.0,0.1241108988,0.11986056730000001
DOGE/USD,2024-07-26 05:00:00+00:00,0.129285,0.13499,0.1287675,0.1347185,65113.938710502,31.0,0.133502576,0.12109824229999999
DOGE/USD,2024-07-27 05:00:00+00:00,0.134818,0.138771,0.1289,0.1289,72255.19347146,12.0,0.1336324018,0.1223436
DOGE/USD,2024-07-28 05:00:00+00:00,0.12891,0.1347785,0.128135,0.133775,175841.439805516,16.0,0.1307341181,0.12362485000000001
DOGE/USD,2024-07-29 05:00:00+00:00,0.13393,0.1350795,0.127157073,0.1293995,64359.374101597,48.0,0.1312351039,0.12460912500000002
DOGE/USD,2024-07-30 05:00:00+00:00,0.1293505,0.13062,0.1232625,0.12431,242691.077274345,30.0,0.1266362179,0.125441625
ETH/USD,2024-07-01 05:00:00+00:00,3484.04,3494.1315,3422.519,3451.65,8.977776096,62.0,3474.0440904543,172.68153799
ETH/USD,2024-07-02 05:00:00+00:00,3452.03,3457.7085,3327.9695,3357.048,2.90035344,33.0,3405.2691475565,340.52800666499996
ETH/USD,2024-07-03 05:00:00+00:00,3356.6095,3367.75,3161.145,3235.855,22.304175078,188.0,3276.3050978619,502.31488391500005
